iter	Passed	Remaining
0	280	139920
1	661	164638
2	895	14838933	1482	183876
4	1839	182150
5	2272	187098
6	2707	190661
7	2882	17725188	3471	18936999	3692	18093510	4525	201167
11	4737	192677
12	4814	180366
13	5146	178664
14	5532	178884
15	6214	187978
16	7250	205995
17	8111	217210
18	8442	213719
19	8930	214338
20	9273	211522
21	9996	217193
22	10409	215877
23	10534	208929
24	10813	205462
25	11006	200656
26	11398	199683
27	11878	200235
28	12411	201587
29	12723	199335
30	13142	198827
31	13604	198961
32	14141	200130
33	14471	198351
34	15029	199680
35	15840	204167
36	16056	200924
37	16280	197942
38	16896	199719
39	17421	200349
40	18101	202644
41	18384	200475
42	19184	203889
43	19577	202899
44	20137	203615
45	20165	199022
46	20404	47	215247	20988	48	22722	209135
49	22982	206839
50	23802	209552
51	23949	206338
52	24715	208447
53	25204	208167
54	25577	206948
55	25809	204632
56	26443	205514
57	26873	204798
58	27426	205000
59	28211	206885
60	28630	206048
61	28867	203934
62	29436	204183
63	29913	203787
64	30216	202217
65	30971	203659
66	31311	202356
67	315467	30773	195503
68	31052	69	32370	198849
70	32623	197119
71	33273	197792
72	33670	196950
73	336973	33296	191679
74	33422	75	34547	192740
76	347876	34316	77	355477	34804	78	36117	192472
79	36833	193376
80	37093	191876
81	37640	191873
82	38666	194263
83	38827	192290
84	39401	192371
85	39531	190304
86	39925	189532
87	40333	188836
88	41021	189436
89	41065	187073
90	41390	186029
91	42004	186281
92	42266	184974
93	42728	184550
94	43020	183403
95	43117	181450
96	43635	181288
97	44100	180903
98	44445	180025
99	447199	44153	176613
100	44391	101	454101	44515	102	456102	45206	174242
103	45756	174226
104	46208	173832
105	46535	172973
106	47066	172868
107	47792	173468
108	47905	171843
109	48010	170217
110	48444	111	494111	49269	170682
112	50036	171364
113	50662	171539
114	50935	170523
115	51001	168832
116	51264	167813
117	52093	168641
118	52297	119	533119	53025	120	542120	53772	121	547121	53874	122	55355	169668
123	556123	54794	124	56088	168264
125	57088	169454
126	57394	168567
127	57623	167469
128	58154	167250
129	58391	166192
130	58442	164620
131	58597	163361
132	58649	161837
133	59182	161648
134	59311	160361
135	598135	59263	158616
136	59592	157898
137	59669	156523
138	59804	155320
139	59854	140	608140	59978	152711
141	60455	152415
142	60695	151527
143	60821	150364
144	61544	150678
145	61960	150231
146	62541	150185
147	62580	148840
148	62733	147781
149	63823	148920
150	64347	148723
151	64643	147998
152	65226	147932
153	66242	148831
154	67444	150119
155	67910	149750
156	68330	157	70108	151753
158	70824	151894
159	71483	151902
160	72165	151951
161	72913	152127
162	73710	152394
163	73917	151441
164	74602	151465
165	75319	151546
166	75925	151396
167	167	82325	162691
168	83708	163949
169	84664	164348
170	85628	164746
171	86450	164859
172	87341	165091
173	88422	165664
174	89061	165400
175	89527	164812
176	90131	164477
177	90617	163926
178	90790	162813
179	91213	162180	85963	151505
181	86573	151265
182	87650	151832
183	88450	151903
184	89209	151897
185	90028	151983
186	90121	150845
187	90751	150608
188	91022	149778
189	91138	148698
190	91403	147872
191	91891	147409
192	92013	146362
193	92456	145833
194	194	98571	154195	195	99199	153196	94530	145394
197	95866	146220
198	96667	146216
199	97713	146570
200	98176	146044
201	98246	144938
202	98356	143900
203	98470	142878
204	98847	142244
205	99277	141687
206	99527	140876
207	100530	141128
208	101400	141184
209	102131	141039
210	102551	140462
211	103416	140489
212	104461	140753
109707	147821
135621
214	101709	134823
215	102212	134390
216	103553	135049
217	103980	134507
9	130888
219	102064	129899
220	102367	129233
221	102707	128616
222	102886	127800
223	103521	127553
224	103817	126888
225	104233	126371
226	104657	125866
227	105007	125272
228	105231	124531
229	105650	124024
00
231	97432	112551
232	97873	112155
233	98192	111620
234	98457	111027
235	98799	110521
236	99253	110141
237	99567	109608
238	100421	109665
239	101542	110004
240	101933	109546
241	102217	108975
242	102549	108458
243	102892	107952
244	103172	107383
245	103510	106877
246	103922	106446
245	122140	126112
246	122413	125386
247	123033	125018
248	123583	124575
249	123885	123885
12673
251	114639	112820
252	114757	112036
253	115057	111433
254	115435	110908
255	116016	110578
256	116365	110026
257	116724	109485
258	117474	109310
259	119017	109861
260	119613	109531
261	120279	109261
262	121109	109136
263	121748	108836
264	121822	108030
265	121912	107246
266	122026	106487
267	122079	105680
268	122320	105040
269	122358	104231
270	122397	103427
271	122452	102643
272	122488	101849
273	122575	101102
275	123696	100391
276	124269	100043
277	125192	99973
278	126046	99843
279	127309	100028
280	128056	99802
0	123153	95980
281	123211	95248
282	123251	94507
283	123348	93814
284	123834	93419
285	123942	92740
286	123978	92011
287	124137	91379
288	124266	90727
289	124340	90039
290	124459	89388
291	124771	88878
292	125181	88438
293	125740	88103
294	125953	87527
295	126290	87038
296	126605	86535
297	126643	85845
298	126756	85210
299	127049	84699
300	127170	84076
1059	92482
302	141210	91810
303	141526	91247
304	141766	90637
305	141824	309	12306	142277	310	127489	77477
311	127987	77120
88439
309	143252	87800
310	143641	87293
56
313	139958	82905
314	140015	82231
315	140333	81713
316	141652	81773
317	142848	81756
318	143499	81421
319	144203	81114
320	144935	80820
321	145238	80286
322	145342	79645
323	145536	79056
324	145634	78418
325	145809	77824
326	145872	77173
327	145970	76545
328	146200	75988
329	146786	75617
330	147070	75090
9599
329	153296	78971
330	153372	78307
331	153980	77917
332	154516	77490
333	155006	77039
334	155723	76699
335	156270	76274
336	157823	76336
58492	75963
338	15339	158214	339	16340	159227	340	160986	75064
341	162486	75067
342	162861	74545
343	163954	74351
344	164259	73797
345	164698	73305
346	165417	72936
347	166224	72603
348	166356	71976
69962
350	163801	69533
351	164562	69190
352	165415	68884
353	165693	68336
353	171309	70652
354	171834	70185
355	172328	69705
356	172402	69057
357	172709	68504
358	172852	67889
359	173009	67281
360	174008	67000
361	174733	66611
362	175106	66087
363	175620	65616
364	176279	65199
365	178034	65181
366	178957	64853
367	179197	64277
368	179898	63866
369	181194	63662
370	181283	63034
371	181689	62516
372	181790	61896
373	181903	61282
374	182062	60687
375	182694	60250
376	183035	59717
377	183947	59369
8	170155	54324
379	171576	54181
380	172305	53817
381	173003	53440
382	173628	53040
383	173885	52528
384	175347	52376
385	175859	51937
386	177045	51695
387	177673	51287
388	177792	50732
389	177911	50180
390	178098	49648
391	178398	49150
392	178789	48677
393	179473	48284
394	180025	47854
395	180370	47370
396	180578	46850
397	181020	46392
398	181218	45872
399	181457	45364
400	181858	44897
